Animal,weight,strain,swv,clock,trial,weeks,Experiment,category,col1A1,IGF,IL1,CTGF,TGF,AKT3,AXL,aSMA_prot,perf
3001,0.08,0,1.46,9,1,0,30,1,1.172635087,0.896131435,0.730842603,6.079839135,6.079839135,2.020981302,2.163605456,5.60187E-05,1
3001,0.08,0,3.43,9,2,0,30,1,1.172635087,0.896131435,0.730842603,6.079839135,6.079839135,2.020981302,2.163605456,5.60187E-05,1
3001,0.08,0,2,9,3,0,30,1,1.172635087,0.896131435,0.730842603,6.079839135,6.079839135,2.020981302,2.163605456,5.60187E-05,1
3001,0.08,0,1.76,12,1,0,30,1,1.172635087,0.896131435,0.730842603,6.079839135,6.079839135,2.020981302,2.163605456,5.60187E-05,1
3001,0.08,0,1.32,12,2,0,30,1,1.172635087,0.896131435,0.730842603,6.079839135,6.079839135,2.020981302,2.163605456,5.60187E-05,1
3001,0.08,0,1.43,12,3,0,30,1,1.172635087,0.896131435,0.730842603,6.079839135,6.079839135,2.020981302,2.163605456,5.60187E-05,1
3001,0.08,0,1.88,3,1,0,30,1,1.172635087,0.896131435,0.730842603,6.079839135,6.079839135,2.020981302,2.163605456,5.60187E-05,1
3001,0.08,0,1.48,3,2,0,30,1,1.172635087,0.896131435,0.730842603,6.079839135,6.079839135,2.020981302,2.163605456,5.60187E-05,1
3001,0.08,0,1.83,3,3,0,30,1,1.172635087,0.896131435,0.730842603,6.079839135,6.079839135,2.020981302,2.163605456,5.60187E-05,1
3001,0.08,10,1.62,9,1,0,30,1,1.172635087,0.896131435,0.730842603,6.079839135,6.079839135,2.020981302,2.163605456,5.60187E-05,1
3001,0.08,10,1.64,9,2,0,30,1,1.172635087,0.896131435,0.730842603,6.079839135,6.079839135,2.020981302,2.163605456,5.60187E-05,1
3001,0.08,10,1.85,9,3,0,30,1,1.172635087,0.896131435,0.730842603,6.079839135,6.079839135,2.020981302,2.163605456,5.60187E-05,1
3001,0.08,10,1.39,12,1,0,30,1,1.172635087,0.896131435,0.730842603,6.079839135,6.079839135,2.020981302,2.163605456,5.60187E-05,1
3001,0.08,10,1.24,12,2,0,30,1,1.172635087,0.896131435,0.730842603,6.079839135,6.079839135,2.020981302,2.163605456,5.60187E-05,1
3001,0.08,10,1.09,12,3,0,30,1,1.172635087,0.896131435,0.730842603,6.079839135,6.079839135,2.020981302,2.163605456,5.60187E-05,1
3001,0.08,10,1.81,3,1,0,30,1,1.172635087,0.896131435,0.730842603,6.079839135,6.079839135,2.020981302,2.163605456,5.60187E-05,1
3001,0.08,10,1.78,3,2,0,30,1,1.172635087,0.896131435,0.730842603,6.079839135,6.079839135,2.020981302,2.163605456,5.60187E-05,1
3001,0.08,10,1.78,3,3,0,30,1,1.172635087,0.896131435,0.730842603,6.079839135,6.079839135,2.020981302,2.163605456,5.60187E-05,1
3001,0.08,20,.,9,1,0,30,1,1.172635087,0.896131435,0.730842603,6.079839135,6.079839135,2.020981302,2.163605456,5.60187E-05,1
3001,0.08,20,.,9,2,0,30,1,1.172635087,0.896131435,0.730842603,6.079839135,6.079839135,2.020981302,2.163605456,5.60187E-05,1
3001,0.08,20,.,9,3,0,30,1,1.172635087,0.896131435,0.730842603,6.079839135,6.079839135,2.020981302,2.163605456,5.60187E-05,1
3001,0.08,20,.,12,1,0,30,1,1.172635087,0.896131435,0.730842603,6.079839135,6.079839135,2.020981302,2.163605456,5.60187E-05,1
3001,0.08,20,.,12,2,0,30,1,1.172635087,0.896131435,0.730842603,6.079839135,6.079839135,2.020981302,2.163605456,5.60187E-05,1
3001,0.08,20,.,12,3,0,30,1,1.172635087,0.896131435,0.730842603,6.079839135,6.079839135,2.020981302,2.163605456,5.60187E-05,1
3001,0.08,20,.,3,1,0,30,1,1.172635087,0.896131435,0.730842603,6.079839135,6.079839135,2.020981302,2.163605456,5.60187E-05,1
3001,0.08,20,.,3,2,0,30,1,1.172635087,0.896131435,0.730842603,6.079839135,6.079839135,2.020981302,2.163605456,5.60187E-05,1
3001,0.08,20,.,3,3,0,30,1,1.172635087,0.896131435,0.730842603,6.079839135,6.079839135,2.020981302,2.163605456,5.60187E-05,1
3001,0.08,30,.,9,1,0,30,1,1.172635087,0.896131435,0.730842603,6.079839135,6.079839135,2.020981302,2.163605456,5.60187E-05,1
3001,0.08,30,.,9,2,0,30,1,1.172635087,0.896131435,0.730842603,6.079839135,6.079839135,2.020981302,2.163605456,5.60187E-05,1
3001,0.08,30,.,9,3,0,30,1,1.172635087,0.896131435,0.730842603,6.079839135,6.079839135,2.020981302,2.163605456,5.60187E-05,1
3001,0.08,30,.,12,1,0,30,1,1.172635087,0.896131435,0.730842603,6.079839135,6.079839135,2.020981302,2.163605456,5.60187E-05,1
3001,0.08,30,.,12,2,0,30,1,1.172635087,0.896131435,0.730842603,6.079839135,6.079839135,2.020981302,2.163605456,5.60187E-05,1
3001,0.08,30,.,12,3,0,30,1,1.172635087,0.896131435,0.730842603,6.079839135,6.079839135,2.020981302,2.163605456,5.60187E-05,1
3001,0.08,30,.,3,1,0,30,1,1.172635087,0.896131435,0.730842603,6.079839135,6.079839135,2.020981302,2.163605456,5.60187E-05,1
3001,0.08,30,.,3,2,0,30,1,1.172635087,0.896131435,0.730842603,6.079839135,6.079839135,2.020981302,2.163605456,5.60187E-05,1
3001,0.08,30,.,3,3,0,30,1,1.172635087,0.896131435,0.730842603,6.079839135,6.079839135,2.020981302,2.163605456,5.60187E-05,1
3001,0.08,40,.,9,1,0,30,1,1.172635087,0.896131435,0.730842603,6.079839135,6.079839135,2.020981302,2.163605456,5.60187E-05,1
3001,0.08,40,.,9,2,0,30,1,1.172635087,0.896131435,0.730842603,6.079839135,6.079839135,2.020981302,2.163605456,5.60187E-05,1
3001,0.08,40,.,9,3,0,30,1,1.172635087,0.896131435,0.730842603,6.079839135,6.079839135,2.020981302,2.163605456,5.60187E-05,1
